l.GN:article:a,o:ao,à,aos,às
rO:article:por,o:pelo
rO:article:em,o:no
rM:article:em,um:num
rM:article:de,um:dum
rO:article:de,o:do
rE:adjective_pronoun:a,aquele:àquele
rE:adjective_pronoun:de,esse:desse
rE:adjective_pronoun:de,este:deste
rE:adjective_pronoun:de,aquele:daquele
rE:adjective_pronoun:em,aquele:naquele
rE:adjective_pronoun:em,esse:nesse
rE:adjective_pronoun:em,este:neste
.:personal_pronoun:com,mim:comigo
.:personal_pronoun:com,ti:contigo
.:personal_pronoun:com,nós:conosco
.:personal_pronoun:com,vós:convosco
.:personal_pronoun:com,si:consigo
rE:personal_pronoun:de,ele:dele
rE:personal_pronoun:em,ele:nele
